Topic,Count,Name,theme1,theme2,Representation,Representative_Docs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,250,123_Minister_Prime Minister_Appointment_Mayor,Population Structure,State Intervention,"['Minister', 'Prime Minister', 'appointment', 'Mayor', 'replacement', 'idiot', 'bureaucrat', 'stupid', 'government', 'power']","['I want a prime minister', 'I want a human prime minister', 'I want a human prime minister']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,220,124_Saitama_Curtain_Horror_Post,,,"['Saitama', 'Curtain', 'Horror', 'Post', 'Harem', 'Beautiful man', 'Good looking', 'Beautiful woman', 'End of the world', 'Wrinkles']","['between the curtains', 'curtain', 'behind the curtains']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,343,125_Anpan_Maji_Man_Story,,,"['Anpan', 'Maji', 'Man', 'Neta', 'Maji', 'Senbei', 'Spiderman', 'Manma', 'CanMaji', '03']","['This is a serious story', 'The Anpanman plate is so cute, I adore it', 'The way he says Anpanman is too cute']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,197,126_Ishimaru_Shinji_Vote_Tokyo,Population Structure,State Intervention,"['Ishimaru', 'Shinji', 'Vote', 'Tokyo', 'Mr', 'As expected', 'Tokyo resident', 'Tokyo Governor', 'Nice', 'Support']","['Ishimaru-san, right?', 'Ishimaru-san', 'Ishimaru-san 1 vote']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,173,127_Crying_Moved_Tears_Can't stop,Childrearing Cost,Public Support,"['crying', 'moved', 'tearful', 'unstoppable', 'stop', 'sorry', 'pat', 'laugh', 'no good', 'moment']","['I was so moved that I burst into tears', 'I'm so moved that I'm bursting into tears', 'I'm so moved that I'm bursting into tears']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,333,128_Only_one_karaoke_is_my_own,Population Structure,State Intervention,"['hitori', 'shika', 'karaoke', 'ora', 'kudoi', 'pii', 'sekkyo', 'only child', 'boss', 'kama']","['Buddha, walk alone, disciples, it's annoying, lol, but still, alone is the best', 'Entertainment, other countries, common mistakes, representative karaoke, one more person service, petit, one child policy lifted too late', 'Entertainment, other countries, common mistakes, representative karaoke, one more person service, petit, one child policy lifted too late']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,290,129_Young_promising_genius_still_a_good_man,Utility,Intergenerational Support,"['young', 'promising', 'genius', 'still have a lot to learn', 'youth', 'generation', 'future', 'confidence', 'age', '34']","['young', 'young', 'young']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,314,130_beautiful_woman_you_actress,,,"['beautiful', 'woman', 'you', 'actress', 'beautiful', 'definite', 'nice', 'Ms', 'pretty', 'beautiful woman']","['She's beautiful', 'She's beautiful', 'She's beautiful']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,251,131_Degawa_Kawaii_Land_Iguchi,,,"['Degawa', 'cute', 'land', 'Iguchi', 'West', 'playing in the river', 'Tetsuro', 'genes', 'poor', 'kawaii']","['Degawa', 'Degawa', 'Degawa']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,170,132_Gal_Yes_Hangout_Young,,,"['gal', 'yes', 'hangout', 'young', 'what', 'congratulations', 'Imaizumi', 'decision', 'time', 'slow']","['- gal boy', 'gal', 'gal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,240,133_Son_eldest_son_no,Utility, Emotional Support,"['son', 'kun', 'eldest son', 'no', 'cute', 'kawaii', 'chan', 'adorable', 'sugin', 'suggestion']","['One son is good', 'Your son is too cute', 'Your son is the cutest']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,236,134_Thailand_Yakult_Suge_Butto,,,"['Thailand', 'Yakult', 'Suge', 'Buto', 'War', 'Upside down', 'Shikari', 'Ebisu', 'Opposite', 'Upside down']","['Thai is good', 'Thai language', 'Thai']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,191,135_Support_Good_Work_Fans_From now on,Childrearing Cost,Public Support,"['Support', 'Do your best', 'Fan', 'From now on', 'Please', 'Behind the scenes', 'Competition', 'Do your best', 'Participation', 'Face to face']","['Support', 'Support', 'Support']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,195,136_500_5000_2000_50000,Childrearing Cost,Expense,"['500', '5000', '2000', '50000', 'Annual income', 'Forest', '1000', 'Income', 'Support', 'Forgiveness']","['And they'll give you 500 yen', 'It's a good idea to have more children for 500 yen a month', 'You'll have to pay 500 yen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,181,137 Household Cash Accounting Benefits,Population Structure,State Intervention,"['household', 'cash', 'accounting', 'benefit', 'Nagoya', 'top-up', 'special', 'unique', 'points', 'receive']","['Summary of the Childbirth and Childrearing Support Benefits \n For each newborn born after January 1, 2023, a total of 100,000 yen in coupons and cash can be paid. Payment system: Local government After submitting pregnancy notification and birth notification, 50,000 yen in cash can be paid. Payment system: Local government decides on payment system. 20230115 Don't be fooled, everyone', 'When I looked up the special living support benefit for childrearing households other than single-parent households, I found \u3000 Shiga Prefecture's national benefit was 50,000, and its own additional benefit was 27,000,000', 'Okayama Prefecture, Okayama City \n 50,000 yen per child benefit, unique additional 20,000 yen per household \n Target population: Approximately 11,000 people in the city 300 households \n Payment period: June 29th for single parent households receiving April child support allowances; Late July for households not subject to resident tax and raising children receiving April child support allowances.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,229,138_Wife_Wife_Husband_General,,,"['wife', 'ma'am', 'husband', 'general', 'sudden', 'bad', 'trigger', 'napoleons', 'beep', 'chin']","['Wife', 'Wife me', 'Wife one vote']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,412,139_Full-time_housewife_None_Female,Values,Gender Equality,"['Full-time', 'Housewife', 'None', 'Female', 'NEET', 'Mother', 'Job', 'Housework', 'Working', 'Not working']","['A full-time housewife without children sounds good', 'What do you think about being a full-time housewife without children', 'I would definitely be a full-time housewife without children']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,176,140_Thank you_for_your_hard_work_in_coordination,,,"['Thank you', 'Thank you', 'Coordination', 'Thanks for your hard work', 'Matching', 'Principal', 'Yay', 'Fuck', 'Threshold', 'Step over']","['Thank you', 'Thank you', 'Thank you']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,227,141_Read_Host_Read_Manuscript,Population Structure,State Intervention,"['read', 'host', 'read', 'manuscript', 'document', 'composition', 'minister', 'read', 'bureaucrat', 'edit']","['Who just reads', 'Who just reads the paper', 'Just read']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,232,142_Shrimp_Buri_Chair_Shrimp,Childrearing Cost,Domestic Labor,"['shrimp', 'yellowtail', 'chair', 'shrimp', 'herring', 'gas', 'snack', 'scattered ashes', 'teriyaki', 'papa']","['I know what gas shrimp is', 'Thank you for your hard work today. \n I love the shine of yellowtail. Putting it in salt is like a fisherman's work. \n I want to eat gas shrimp', 'What is gas shrimp?']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,267,143_Study_Teaching_Continue_Qualification,Utility,Socialization,"['study', 'teaching', 'continue', 'qualification', 'education', 'rule', 'fast', 'teacher', 'learn', 'learn']","['You're studying well', 'You're studying well', 'You're studying well']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,226,144_Housework_Childcare_Solo_Good job,Childrearing Cost,Domestic Labor,"['housework', 'childcare', 'solo', 'good job', 'perfect', 'respect', 'cleaning', 'work', 'always', 'everyday']","['Thank you for your hard work raising children and doing housework every day', 'Thank you for your hard work raising children and doing housework', 'I think you're doing good housework but...']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,202,145_Minako_Freedom_Everyone_Respect,Population Structure,State Intervention,"['Minako', 'Freedom', 'Everyone', 'Respect', 'Okinawa', 'Precure', 'Cute', 'Cool', 'Kind', 'Everyone']","['Minako is still such a small child, I really respect her', 'Minako is still such a small child, I really respect her', 'Minako-san']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,167,146_Governor Koike_Citizen of Tokyo,Population Structure,State Intervention,"['Koike', 'Governor', 'Ishimaru', 'Tokyo resident', 'Yuriko', 'San', 'Shinji', 'Tokyo', 'Vote', 'Pledge']","['Koike-san', 'Koike-san one vote', 'Koike-san']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,224,147_Election_Vote_Go_Participate,Population Structure,State Intervention,"['election', 'vote', 'go', 'participation in politics', 'performance', 'pr', 'go', 'Diet', 'let's', 'be elected']","['by election', 'before election', 'for election']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,262,148_Die_Dead_Easy_Extinction,Population Structure,Old Age Care Demand,"['die', 'die', 'comfort', 'extinction', 'disappearance', 'pass away', 'annihilation', 'perish', 'hell', 'pass away']","['I want a euthanasia law soon', 'Give me euthanasia already', 'I want euthanasia']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,171,149_Angel_Smile_Heavenly_,Utility, Emotional Support,"['Angel', 'Smile', 'Heaven', 'Too much', 'Dress', 'Cute', 'Chan', 'Wait', 'Cute', 'Adorable']","['Angel', 'Angel', 'Angel']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,182,150_Dimension_Countermeasures_Toward_Declining_Birthrate,Population Structure,Low Fertility,"['dimension', 'declining birthrate', 'measures', 'this', 'acceleration', 'labour', 'trend', 'policy', 'foreign country', 'declining birthrate']","['An unprecedented measure to combat the declining birthrate', 'An unprecedented measure to combat the declining birthrate', 'An unprecedented measure to combat the declining birthrate']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,391,151_Sisters_Big sister_Separate_Big sister,Utility,Reproduction,"['sister', 'older sister', 'separate', 'older sister', 'brother and sister', 'good friends', 'child', 'older brother', 'troublesome', 'cute']","['Your sister and sister are so cute', 'You two are so cute', 'Your sister and sister are so lucky']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,416,152_Countermeasures against declining birthrate_Tax,Population Structure,Low Fertility,"['declining birthrate', 'measures', 'declining birthrate', 'tax', 'prices', 'salary', 'tax increase', 'money', 'problem', 'aging']","['I want them to seriously raise taxes to combat the declining birthrate, not just talk about it', 'I think the declining birthrate is a problem in society and low wages', 'Don't use taxes to combat the declining birthrate now lol']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,190,153_Milk_Diaper_Breastmilk_Drinking,Utility,Socialization,"['milk', 'diaper', 'breast milk', 'drink', 'powdered milk', 'mixed', 'breastfeeding', 'feeding', 'changing', 'first time hearing about it']","['I'll do my best to get the milk,' 'Give me some milk,' 'Cute milk, milk is cute,']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,556,154_Do your best_Do your best_Please do your best,Childrearing Cost,Public Support,"['Do your best', 'Do your best', 'Do your best', 'Please', 'Do your best', 'Do your best', 'Please', 'Please', 'From now on', 'Do your best']","['Good luck', 'Good luck', 'Good luck']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,240,155_carbonated_drinkable_drinkable,Utility,Socialization,"['carbonated', 'drink', 'drinkable', 'drink', 'drink', 'beer', 'juice', 'shampoo', 'drink', 'drink']","['It's amazing that he can drink carbonated drinks, he's only in first grade but he can still drink them', 'He's cute and can drink carbonated drinks', 'It's amazing that he can drink carbonated drinks']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,234,156_Friend_Colleague_Same age_Best friend,Utility,Intergenerational Support,"['friend', 'comrade', 'same age', 'best friend', 'younger', 'good friend', 'good acquaintance', 'Fukuoka', 'friend', 'friend']","['Friend', 'Friend', 'Friend']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,153,157_Grapes_Envious_Envious_Banana,,,"['grapes', 'envious', 'envious', 'banana', 'painted', 'grapes', 'pesticide', 'envious', 'juice', 'ppo']","['grapes', 'grapes', 'grapes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
